symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,18-12-2025,273.61,273.63,266.95,272.19,51630721,-1.42,-0.51899,271.595
AAPL,17-12-2025,275.01,276.16,271.64,271.84,50138743,-3.17,-1.15,273.6625
AAPL,16-12-2025,272.82,275.5,271.79,274.61,37648628,1.79,0.65611,273.68
AAPL,15-12-2025,280.15,280.15,272.84,274.11,50409100,-6.04,-2.16,276.8125
AAPL,12-12-2025,277.9,279.22,276.82,278.28,39532900,0.38,0.13674,278.055
AAPL,11-12-2025,279.1,279.59,273.81,278.03,33248000,-1.07,-0.38338,277.6325
AAPL,10-12-2025,277.75,279.75,276.44,278.78,33038318,1.03,0.37084,278.18
AAPL,09-12-2025,278.16,280.03,276.92,277.18,32193300,-0.98,-0.35232,278.0725
AAPL,08-12-2025,278.13,279.67,276.15,277.89,38211832,-0.24,-0.08629058,277.96
AAPL,05-12-2025,280.54,281.14,278.05,278.78,47265845,-1.76,-0.62736,279.6275
AAPL,04-12-2025,284.1,284.73,278.59,280.7,43989100,-3.4,-1.2,282.03
AAPL,03-12-2025,286.2,288.62,283.3,284.15,43538700,-2.05,-0.71628,285.5675
AAPL,02-12-2025,283,287.4,282.63,286.19,53669532,3.19,1.13,284.805
AAPL,01-12-2025,278.01,283.42,276.14,283.1,46587722,5.09,1.83,280.1675
AAPL,28-11-2025,277.26,279,275.99,278.85,20135620,1.59,0.57347,277.775
AAPL,26-11-2025,276.96,279.53,276.63,277.55,33431423,0.59,0.21303,277.6675
AAPL,25-11-2025,275.27,280.38,275.25,276.97,46914220,1.7,0.61758,276.9675
AAPL,24-11-2025,270.9,277,270.9,275.92,65585800,5.02,1.85,273.68
AAPL,21-11-2025,265.95,273.33,265.67,271.49,59030832,5.54,2.08,269.11
AAPL,20-11-2025,270.83,275.43,265.92,266.25,45823600,-4.58,-1.69,269.6075
AAPL,19-11-2025,265.52,272.21,265.5,268.56,40424500,3.04,1.14,267.9475
AAPL,18-11-2025,269.99,270.71,265.32,267.44,45677300,-2.55,-0.94448,268.365
AAPL,17-11-2025,268.82,270.49,265.73,267.46,45018300,-1.36,-0.50591,268.125
AAPL,14-11-2025,271.05,275.96,269.6,272.41,47431331,1.36,0.50175,272.255
AAPL,13-11-2025,274.11,276.7,272.09,272.95,49602800,-1.16,-0.42319,273.9625
AAPL,12-11-2025,275,275.73,271.7,273.47,48398000,-1.53,-0.55636,273.975
AAPL,11-11-2025,269.81,275.91,269.8,275.25,46208318,5.44,2.02,272.6925
AAPL,10-11-2025,268.96,273.73,267.46,269.43,41312412,0.47,0.17475,269.895
AAPL,07-11-2025,269.8,272.29,266.77,268.47,48227400,-1.32,-0.49296,269.3325
AAPL,06-11-2025,267.89,273.4,267.89,269.77,51204045,1.88,0.70178,269.7375
AAPL,05-11-2025,268.61,271.7,266.93,270.14,43683100,1.53,0.5696,269.345
AAPL,04-11-2025,268.33,271.49,267.62,270.04,49274846,1.72,0.63727,269.37
AAPL,03-11-2025,270.42,270.85,266.25,269.05,50194600,-1.37,-0.50662,269.1425
AAPL,31-10-2025,276.99,277.32,269.16,270.37,86167123,-6.62,-2.39,273.46
